image,method,sample_count,contour_points,area_pixel,Z2,JRC
图3-1.jpg,uniform,32,58,171.0,6.588402163417878,150.33034954031584
图3-1.jpg,uniform,58,58,171.0,1.7024739737323369,60.980504721309366
图3-1.jpg,uniform,58,58,171.0,1.7024739737323369,60.980504721309366
图3-1.jpg,curvature_adaptive,58,58,171.0,1.7024739737323369,60.980504721309366
图3-10.jpg,uniform,32,140,135.0,2.7127757852509498,83.99199210633995
图3-10.jpg,uniform,64,140,135.0,3.869991984298709,106.41170188231493
图3-10.jpg,uniform,128,140,135.0,3.114923884013202,92.15203639127797
图3-10.jpg,curvature_adaptive,80,140,135.0,4.33877485848489,114.70457322665948
图3-11.jpg,uniform,32,466,243.0,8.420715196929049,175.82077006620966
图3-11.jpg,uniform,64,466,243.0,8.584763007409414,177.98872714748092
图3-11.jpg,uniform,128,466,243.0,8.39641747108915,175.49823499775258
图3-11.jpg,curvature_adaptive,85,466,243.0,8.339535743469563,174.7417068787263
图3-2.jpg,uniform,32,140,209.0,18.45135234021413,287.73254376233405
图3-2.jpg,uniform,64,140,209.0,9.690281416297365,192.18855700133216
图3-2.jpg,uniform,128,140,209.0,9.720267153512754,192.56440454219157
图3-2.jpg,curvature_adaptive,83,140,209.0,11.081191085758809,209.16341191643187
图3-3.jpg,uniform,32,772,546.0,12.648276817852972,227.29628509472207
图3-3.jpg,uniform,64,772,546.0,16.77980086513838,271.2223435512454
图3-3.jpg,uniform,128,772,546.0,15.920929908723105,262.4836821576101
图3-3.jpg,curvature_adaptive,85,772,546.0,16.270006789370658,266.0575987836754
图3-4.jpg,uniform,32,419,179.5,8.4598247208227,176.33914049986953
图3-4.jpg,uniform,64,419,179.5,9.621115492019149,191.31983816531297
图3-4.jpg,uniform,128,419,179.5,9.610607578753767,191.18764128021533
图3-4.jpg,curvature_adaptive,87,419,179.5,9.254016538562047,186.6666084705181
图3-5.jpg,uniform,32,200,875.0,14.847308816694271,251.29004139700407
图3-5.jpg,uniform,64,200,875.0,17.24132823591947,275.84421053251333
图3-5.jpg,uniform,128,200,875.0,15.065368958812963,253.58909097752246
图3-5.jpg,curvature_adaptive,77,200,875.0,12.744447378481208,228.37889256705628
图3-6.jpg,uniform,32,217,352.5,10.700255297203357,204.60365701657577
图3-6.jpg,uniform,64,217,352.5,13.117475658560654,232.54756600350328
图3-6.jpg,uniform,128,217,352.5,11.458844843839223,213.62239021399364
图3-6.jpg,curvature_adaptive,88,217,352.5,11.910011855951575,218.87299671115963
图3-7.jpg,uniform,32,409,192.5,11.1027942429637,209.42010457385956
图3-7.jpg,uniform,64,409,192.5,18.381659751225204,287.05645478015913
图3-7.jpg,uniform,128,409,192.5,11.422835621644,213.1997890549925
图3-7.jpg,curvature_adaptive,86,409,192.5,15.016098013395554,253.070788351582
图3-8.jpg,uniform,32,154,98.0,6.209354626712687,144.7174442191392
图3-8.jpg,uniform,64,154,98.0,5.6253011771624015,135.79258941747509
图3-8.jpg,uniform,128,154,98.0,2.624319067893893,82.13362292304592
图3-8.jpg,curvature_adaptive,90,154,98.0,3.8709289893236707,106.42866621873485
图3-9.jpg,uniform,32,274,183.0,12.471785299721907,225.30088694339648
图3-9.jpg,uniform,64,274,183.0,22.482150916694515,325.252815252808
图3-9.jpg,uniform,128,274,183.0,13.52616347966268,237.0606750387713
图3-9.jpg,curvature_adaptive,83,274,183.0,19.430523717669978,297.1259956655621
