points,inliers,R_mm,P_mm,beta_rad,C_mm,RMSE_mm,R2,image,cluster
67,42,615.8871005518184,94.25,1.2150252364996088,-546.2396983916057,19.51670599567188,-0.007462651741841686,图2-1.jpg,0
80,55,394.53442334162884,94.25,1.392573905471879,-240.86620163660024,18.427110760586714,0.13483834331116762,图2-1.jpg,1
66,56,62.04487581163629,94.25,-0.08651952605246117,278.69513723613363,14.671397151904106,-0.011151007334275764,图2-1.jpg,2
34,34,400.61190023380254,94.25,2.68768710800802,-91.28319060648431,7.754591651637451,0.11001533195498625,图2-1.jpg,3
46,40,84.33017822529014,94.25,0.0943964173127417,394.6017332447411,12.363503410337882,0.1307137714811959,图2-1.jpg,4
31,31,88.39647664273883,94.25,-1.2586303090525999,570.556743043346,4.960626067114892,0.3404418896652336,图2-1.jpg,5
726,299,81.0696783207613,94.25,-2.2351154192679705,-14.41269270664619,33.267821246509484,0.1568126801487454,图2-10.jpg,0
33,33,56.64801743758643,94.25,1.6587886547377206,74.69660656269409,7.303712884637663,0.15709371346926315,图2-10.jpg,1
34,34,215.4688891464538,94.25,-1.3495721083879688,-115.10409905497991,5.411003490690687,0.12887684610949468,图2-10.jpg,2
42,42,194.7698370483299,94.25,-0.028146335553670274,315.3917907351225,6.349949846454932,0.2665549610876624,图2-10.jpg,3
34,34,89.86396154656006,94.25,-1.577266158577017,59.98323517217983,6.5895295212452565,0.06380710191697336,图2-10.jpg,4
30,30,67.03666804061555,94.25,-1.6743353817152127,108.57955160243546,6.456361986643049,0.2050866772892065,图2-10.jpg,5
34,34,587.9232762357741,94.25,-0.2972163715238033,764.2905396181363,6.628911248028421,0.3144166182486564,图2-10.jpg,6
135,121,60.77658434970632,94.25,-2.409457755955604,147.34356452663508,11.955430754868662,0.09964772876351502,图2-10.jpg,7
250,184,94.81621693001259,94.25,1.4262843760348838,330.74117150428367,15.63917427102146,0.4108154633021751,图2-10.jpg,8
729,205,56.221226181086884,94.25,1.5745740151745218,455.89740518268684,38.91984568624215,0.06064637096013348,图2-10.jpg,9
130,113,91.14579099559663,94.25,-0.16837400662925592,452.9526880773045,12.151132549677463,0.11539218008534335,图2-10.jpg,10
109,87,82.60071528162732,94.25,-1.499862074861807,334.3123792994251,14.775018023164062,0.5025895409292294,图2-10.jpg,11
49,49,44.488184763279,94.25,-2.7995369535082197,411.3165670609644,7.508972102763922,0.056810667025746664,图2-10.jpg,12
59,55,306.6673984645065,94.25,2.8095026833100687,133.86498360554123,11.27111108463107,0.05282547119318948,图2-10.jpg,13
130,60,254.74273481997346,94.25,-2.540413042127827,279.1924109158528,25.976008058892806,-0.02790506819341987,图2-2.jpg,0
443,150,157.26419841175314,94.25,-0.690848956709944,245.4299632475505,39.25402504738648,0.10246417119202589,图2-2.jpg,1
32,31,139.55211859033034,94.25,-2.1270171354266654,146.3409503598632,9.634640249903116,0.1707981554435002,图2-2.jpg,2
38,36,407.7403443204038,94.25,1.097542697384742,482.7358374095829,9.064312338907529,0.06598517995846831,图2-2.jpg,3
63,54,299.67808290582076,94.25,-2.74813594668954,-194.90893823572475,11.910180767668942,0.04658864683715347,图2-2.jpg,4
725,270,122.01477493788995,94.25,-2.6767984364527897,283.7339300833527,36.776953262632674,0.14930394051748241,图2-2.jpg,5
34,34,1199.3152246868729,94.25,1.676562719694157,-1092.1863371152588,7.6307210443754165,0.13527672741356644,图2-2.jpg,6
60,60,119.94042331165359,94.25,-1.9310177148281593,236.33993152047003,6.455744949755141,0.10263248837571093,图2-2.jpg,7
118,112,47.37956021776147,94.25,-3.0589305439203973,175.79777791797,11.489248681266615,0.2569356304864848,图2-2.jpg,8
40,40,404.44673671010827,94.25,-1.5523164704042371,-236.4365117514947,7.781060846732452,0.07389534323471936,图2-2.jpg,9
68,66,95.48350532609071,94.25,-2.643805072904254,125.12642762080654,8.016129547589756,0.5678928757347463,图2-2.jpg,10
45,44,621.3943382293162,94.25,-1.0394278304364677,-424.0341499621617,10.003676450077316,0.09272676235930022,图2-2.jpg,11
80,46,2935.0928391823213,94.25,2.5259826218422,3143.1354253347863,21.22038069723382,-0.034979876946068744,图2-2.jpg,12
244,96,195.1473571182217,94.25,2.5049071067823214,65.93234648715824,28.850246128806365,-0.014743017793474866,图2-2.jpg,13
44,44,205.7551916616772,94.25,0.5606419449615914,442.15171338273973,6.534867576966304,0.20308331100228516,图2-2.jpg,14
33,33,59.03744642126706,94.25,-2.102567820952455,324.3063844095203,3.9598729615411767,0.43797463833779104,图2-2.jpg,15
33,33,135.65942735083775,94.25,2.294504241453844,414.3220911013825,6.619524268328793,0.2416569437891135,图2-2.jpg,16
34,34,185.48574183836251,94.25,-1.8795268018492493,479.42132648042707,7.385749501299203,0.09837297147382518,图2-2.jpg,17
32,32,2544.0011786225027,94.25,-2.06985783011373,2853.5287434870697,8.533756592259854,0.13520137805865284,图2-2.jpg,18
30,30,449.67876747941347,94.25,0.5659510134873709,779.4355625132291,5.669234311838704,0.2048620666065586,图2-2.jpg,19
45,45,62.74850273952374,94.25,-2.3118013155501558,299.63214701085263,4.061626175902937,0.21349218428193917,图2-2.jpg,20
161,140,73.65336019108997,94.25,0.4269894852876314,306.042028111215,12.632493612346254,0.04656799256596644,图2-2.jpg,21
143,136,26.44022406051307,94.25,-1.4339528873724345,401.435979769815,11.520610145065973,0.3617556522786821,图2-2.jpg,22
113,80,142.27436287312244,94.25,-1.3428043503064089,521.0218466857317,18.886095519033372,0.23327483575983177,图2-2.jpg,23
39,38,582.6185050993445,94.25,2.248535341125303,-153.0526297956224,8.910901027575054,0.08197209853925003,图2-2.jpg,24
182,141,63.993515261741734,94.25,-2.521888821375802,509.459460052385,14.684101630461901,-0.014939923361826812,图2-2.jpg,25
